slope_deg,elevation_m,lithology_idx,rainfall_3d_mm,rainfall_24h_intensity,soil_moisture_pct,displacement_rate,fault_distance_m,target_class
44.24,1263.41,4.00,358.49,19.87,98.60,0.27,414.88,3
43.48,1401.26,4.00,327.78,13.72,96.57,3.35,311.39,3
36.46,1212.53,4.00,316.98,16.24,94.55,2.74,238.15,3
40.30,1351.73,4.00,406.29,16.48,100.00,0.84,372.68,3
40.40,1245.00,4.00,327.26,20.86,99.92,0.16,291.34,3
41.70,1326.72,4.00,310.67,18.58,100.00,0.92,629.05,3
45.08,1300.56,4.00,339.41,14.40,91.13,7.94,342.02,3
37.79,1174.33,4.00,314.04,15.70,100.00,5.88,583.16,3
39.56,1242.89,4.00,350.58,18.23,97.12,1.68,422.15,3
46.63,1172.22,4.00,363.17,16.19,93.77,5.62,438.63,3
43.76,1464.56,4.00,341.40,19.99,84.28,0.12,573.29,3
37.53,1405.10,4.00,364.89,15.36,96.79,6.34,225.74,3
39.67,1219.79,4.00,365.19,16.29,96.82,10.04,526.99,3
47.30,1301.07,4.00,334.57,17.32,98.46,2.51,394.83,3
43.54,1311.33,4.00,342.43,14.60,91.51,0.57,386.90,3
44.09,1260.07,4.00,347.67,9.23,94.34,16.06,660.59,3
35.78,1276.82,4.00,343.81,22.69,98.85,0.70,495.23,3
43.69,1279.11,4.00,361.48,11.85,95.35,5.86,565.97,3
47.41,1111.78,4.00,356.97,21.87,94.06,0.19,365.06,3
48.47,1384.83,4.00,342.53,14.20,100.00,0.86,266.57,3
39.28,1465.99,4.00,322.72,14.33,100.00,7.65,265.37,3
47.27,1584.70,4.00,334.19,14.68,91.36,1.93,628.61,3
44.33,1315.64,4.00,348.56,16.34,95.92,0.79,484.84,3
43.29,1381.69,4.00,346.67,11.65,100.00,1.14,648.77,3
39.09,1374.45,4.00,371.26,12.84,100.00,4.82,511.92,3
39.46,1297.50,4.00,308.05,12.98,100.00,4.49,414.06,3
42.55,1454.42,4.00,335.68,23.46,100.00,1.48,321.43,3
42.65,1263.53,4.00,339.20,17.52,97.29,2.19,566.56,3
40.94,1382.77,4.00,347.65,11.56,100.00,3.80,507.80,3
43.31,1182.93,4.00,368.74,15.45,100.00,5.46,609.93,3
37.68,1167.46,4.00,355.18,16.84,100.00,7.20,1027.91,3
47.16,1398.58,4.00,348.11,15.83,93.08,0.44,224.88,3
40.80,1289.82,4.00,400.17,9.70,100.00,0.14,208.09,3
39.37,1239.82,4.00,381.31,15.69,100.00,0.40,259.37,3
42.66,1201.81,4.00,395.90,17.20,87.85,7.14,477.97,3
40.94,1079.70,4.00,323.00,20.28,97.99,1.30,402.32,3
48.68,1328.60,4.00,310.78,18.05,100.00,2.45,604.87,3
39.94,1126.41,4.00,336.37,20.92,99.88,2.89,310.11,3
41.62,1130.27,4.00,383.11,11.01,97.36,2.11,469.61,3
